song_title,singer,film,year,emotion,keywords
Badtameez Dil,Benny Dayal,Yeh Jawaani Hai Deewani,2013,happy,party dance celebration fun energetic
Gallan Goodiyaan,Various Artists,Dil Dhadakne Do,2015,happy,celebration family joy festive happy
London Thumakda,Labh Janjua,Queen,2014,happy,dance wedding fun upbeat joyful
Nagada Sang Dhol,Shreya Ghoshal,Ram-Leela,2013,happy,festival celebration energetic vibrant happy
Balam Pichkari,Shalmali Kholgade,Yeh Jawaani Hai Deewani,2013,happy,holi festival fun playful happy
Aaj Ki Raat,Neha Kakkar,Stree,2018,happy,night dance party fun celebration
Ghungroo,Arijit Singh,War,2019,happy,dance energy celebration upbeat fun
Param Sundari,Shreya Ghoshal,Mimi,2021,happy,beautiful cheerful joyful vibrant happy
Dilbaro,Shankar Mahadevan,Raazi,2018,happy,joy bittersweet celebration happy emotions
Kesariya Title Track,Arijit Singh,Brahmastra,2022,happy,celebration festival joy bright happy
Dhing Dhing,Various,Kick,2014,happy,fun party upbeat energetic dance
Lungi Dance,Yo Yo Honey Singh,Chennai Express,2013,happy,fun upbeat party celebration energetic
Photocopy,Jav Ali,Youngistaan,2014,happy,fun quirky upbeat cheerful party
Humma Humma,AR Rahman,Bombay,1995,happy,dance fun energetic lively celebration
Ole Ole,Udit Narayan,Yeh Dillagi,1994,happy,fun love cheerful upbeat happy
Kala Chashma,Amar Arshi,Baar Baar Dekho,2016,happy,dance party fun celebration swag
Go Pagal,Raftaar,Judwaa 2,2017,happy,fun dance party crazy energetic
Nashe Si Chadh Gayi,Arijit Singh,Befikre,2016,happy,love intoxicated joy happy celebration
Sweetheart,Dev Negi,Kedarnath,2018,happy,love sweet happy cheerful joyful
Tujhe Kitna Chahne Lage (Happy),Arijit Singh,Kabir Singh,2019,happy,love happy beautiful feelings cheerful
Zingaat,Ajay-Atul,Dhadak,2018,happy,dance celebration joy energetic festive
Burjkhalifa,Lijo George,Laxmii,2020,happy,fun party energetic dance celebration
Manike Mage Hithe,Yohani,Thank God,2021,happy,fun cheerful upbeat dance happy
Moti,Jasleen Royal,Roohi,2021,happy,fun quirky happy energetic dance
Aithey Aa,Kanika Kapoor,Bharat,2019,happy,love celebration joy happy dance
Bhool Bhulaiyaa 2 Title,Arijit Singh,Bhool Bhulaiyaa 2,2022,happy,fun quirky dance party celebration
Naacho Naacho,Rahul Sipligunj,RRR,2022,happy,dance celebration joy energetic vibrant
Jugjugg Jeeyo,Neeti Mohan,Jugjugg Jeeyo,2022,happy,celebration family joy happy festive
Sher Khul Gaye Celebration,Various,Fighter,2024,happy,celebration power joy energetic dance
Dil Hai Chota Sa,Kavita Krishnamurthy,Roja,1992,happy,cute love joy innocent happy
Tunak Tunak Tun,Daler Mehndi,Album,1998,happy,fun dance upbeat energetic happy
